Keyword,Views,lang,Top 3 Pages,Class
BinanceListing,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
криптовалюта,75696.0,uk,"40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
2477.0: https://www.youtube.com/watch?v=xK_91PPS2WA&pp=ygUGWm9vbWV4",Zoomex
биткоин,72000.0,ru,"40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4",Zoomex
блокчейн,72000.0,ru,"40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4",Zoomex
крипта,72000.0,sr,"40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4",Zoomex
eth,71333.0,en,"110000.0: https://www.youtube.com/watch?v=aYPJU-u2J9U&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
5289.0: https://www.youtube.com/watch?v=36R1dQNGlB0&pp=ygUGWm9vbWV4",Zoomex
cryptoexchange,66059.0,nl,"61000.0: https://www.youtube.com/watch?v=mWW9fshejKw&pp=ygUGWm9vbWV4
2748.0: https://www.youtube.com/watch?v=veLSf4HmK9g&pp=ygUGWm9vbWV4
2157.0: https://www.youtube.com/watch?v=msY7KTAqS6o&pp=ygUGWm9vbWV4",Zoomex
CryptoLine,61000.0,en,61000.0: https://www.youtube.com/watch?v=mWW9fshejKw&pp=ygUGWm9vbWV4,Zoomex
mexc,55941.0,en,"39000.0: https://www.youtube.com/watch?v=IyRoegC0iFU&pp=ygUGWm9vbWV4
9640.0: https://www.youtube.com/watch?v=rRM3Fl2ZLU4&pp=ygUGWm9vbWV4
6870.0: https://www.youtube.com/watch?v=r0yrTVXsdNM&pp=ygUGWm9vbWV4",Zoomex
nft,52549.0,en,"32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
9064.0: https://www.youtube.com/watch?v=Ic0pVG0Q3J8&pp=ygUGWm9vbWV4
6866.0: https://www.youtube.com/watch?v=7MeSaRhDH64&pp=ygUGWm9vbWV4",Zoomex
coin,50044.0,en,"110000.0: https://www.youtube.com/watch?v=WppIXQzCr7I&pp=ygUGWm9vbWV4
110000.0: https://www.youtube.com/watch?v=aYPJU-u2J9U&pp=ygUGWm9vbWV4
98000.0: https://www.youtube.com/watch?v=qyIuoKMlaJQ&pp=ygUGWm9vbWV4",Zoomex
DeFi,50000.0,en,"40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4
10000.0: https://www.youtube.com/watch?v=P1eVn5wBK9o&pp=ygUGWm9vbWV4",Zoomex
shevacrypto,45000.0,en,45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4,Zoomex
米国株,43042.0,zh,"43000.0: https://www.youtube.com/watch?v=Nlcx-bd188U&pp=ygUGWm9vbWV4
42.0: https://www.youtube.com/watch?v=tYS0iYXIK6U&pp=ygUGWm9vbWV4",Zoomex
米国経済,43000.0,zh,43000.0: https://www.youtube.com/watch?v=Nlcx-bd188U&pp=ygUGWm9vbWV4,Zoomex
以太坊,42909.0,zh,"7714.0: https://www.youtube.com/watch?v=gKde4nYPsCY&pp=ygUGWm9vbWV4
7662.0: https://www.youtube.com/watch?v=9eJOegywzzE&pp=ygUGWm9vbWV4
6538.0: https://www.youtube.com/watch?v=T0htbczSHro&pp=ygUGWm9vbWV4",Zoomex
比特币,41462.0,zh,"7714.0: https://www.youtube.com/watch?v=gKde4nYPsCY&pp=ygUGWm9vbWV4
7662.0: https://www.youtube.com/watch?v=9eJOegywzzE&pp=ygUGWm9vbWV4
6538.0: https://www.youtube.com/watch?v=T0htbczSHro&pp=ygUGWm9vbWV4",Zoomex
